Team,Shots pg,Yellow cards,Red cards,Possession%,Pass%,AerialsWon,Rank
Bayern Munich,2,0,0,2,2,0,1
Freiburg,0,0,2,0,0,2,15
VfB Stuttgart,0,1,0,0,0,1,7
Borussia M.Gladbach,1,0,0,1,1,0,9
Hoffenheim,1,2,0,0,1,0,3
Bayer Leverkusen,2,1,1,1,1,0,5
Schalke 04,0,2,0,0,1,0,2
FC Koln,0,2,0,0,0,1,18
Hamburger SV,0,1,1,0,0,1,17
Borussia Dortmund,1,0,1,2,1,1,4
Hertha Berlin,0,0,1,0,0,2,10
Mainz 05,1,1,1,0,0,2,14
Hannover 96,1,2,0,0,0,2,13
Augsburg,1,2,0,0,0,2,12
Werder Bremen,1,1,0,0,0,1,11
RB Leipzig,1,0,2,1,1,1,6
Eintracht Frankfurt,0,2,0,0,0,1,8
Wolfsburg,0,1,2,0,1,1,16
