,Country,Identifier,Year,Emissions
266,Afghanistan,AFG,2017,178502925
800,Albania,ALB,2017,277278189
1067,Algeria,DZA,2017,4107869896
1601,Andorra,AND,2017,13717377
1868,Angola,AGO,2017,623762311
2135,Anguilla,AIA,2017,3040078
2402,Antarctic Fisheries,,2017,153888
2669,Antigua and Barbuda,ATG,2017,21756717
2936,Argentina,ARG,2017,7977373398
3203,Armenia,ARM,2017,273731872
3470,Aruba,ABW,2017,74231827
4004,Australia,AUS,2017,17360810555
4271,Austria,AUT,2017,5303713347
4538,Azerbaijan,AZE,2017,2471780322
4805,Bahamas,BHS,2017,157456745
5072,Bahrain,BHR,2017,826530054
5339,Bangladesh,BGD,2017,1361147180
5606,Barbados,BRB,2017,51506565
5873,Belarus,BLR,2017,4058119852
6140,Belgium,BEL,2017,12257548524
6407,Belize,BLZ,2017,17162217
6674,Benin,BEN,2017,98792204
6941,Bermuda,BMU,2017,27146704
7208,Bhutan,BTN,2017,13762670
7475,Bolivia,BOL,2017,461310418
7742,Bonaire Sint Eustatius and Saba,BES,2017,20786824
8009,Bosnia and Herzegovina,BIH,2017,839470358
8276,Botswana,BWA,2017,131552447
8543,Brazil,BRA,2017,14190905220
8810,British Virgin Islands,VGB,2017,4416724
9077,Brunei,BRN,2017,335970645
9344,Bulgaria,BGR,2017,3703285889
9611,Burkina Faso,BFA,2017,50218081
9878,Burundi,BDI,2017,10728250
10145,Cambodia,KHM,2017,105225247
10412,Cameroon,CMR,2017,194766284
10679,Canada,CAN,2017,31913521876
10946,Cape Verde,CPV,2017,11572647
11213,Cayman Islands,CYM,2017,14062432
11480,Central African Republic,CAF,2017,11448062
11747,Chad,TCD,2017,14410061
12014,Chile,CHL,2017,2657499285
12281,China,CHN,2017,200136494087
12548,Christmas Island,CXR,2017,1330032
12815,Colombia,COL,2017,3110040939
13082,Comoros,COM,2017,4221082
13349,Congo,COG,2017,70573384
13616,Cook Islands,COK,2017,2044872
13883,Costa Rica,CRI,2017,231692589
14150,Cote d'Ivoire,CIV,2017,303413163
14417,Croatia,HRV,2017,981746998
14684,Cuba,CUB,2017,1656996984
14951,Curacao,CUW,2017,416123737
15218,Cyprus,CYP,2017,270926137
15485,Czech Republic,CZE,2017,8321584468
15752,Czechoslovakia,OWID_CZS,2017,11241448784
16019,Democratic Republic of Congo,COD,2017,186868045
16286,Denmark,DNK,2017,3991753370
16553,Djibouti,DJI,2017,19174274
16820,Dominica,DMA,2017,3921840
17087,Dominican Republic,DOM,2017,666238638
17621,Ecuador,ECU,2017,1100685365
17888,Egypt,EGY,2017,5561231356
18155,El Salvador,SLV,2017,213279980
18422,Equatorial Guinea,GNQ,2017,92146727
18689,Eritrea,ERI,2017,16336483
18956,Estonia,EST,2017,1147762306
19223,Ethiopia,ETH,2017,207190474
19757,Faeroe Islands,FRO,2017,28545340
20024,Falkland Islands,FLK,2017,4785184
20291,Fiji,FJI,2017,45160830
20558,Finland,FIN,2017,3065528408
20825,France,FRA,2017,37768075471
21092,French Guiana,GUF,2017,21361120
21359,French Polynesia,PYF,2017,27182548
21626,Gabon,GAB,2017,245703654
21893,Gambia,GMB,2017,12030971
22160,Georgia,GEO,2017,593121176
22427,Germany,DEU,2017,90565630028
22694,Ghana,GHA,2017,316321491
22961,Gibraltar,GIB,2017,11380384
23228,Greece,GRC,2017,3884493460
23495,Greenland,GRL,2017,30246493
23762,Grenada,GRD,2017,7332340
24029,Guadeloupe,GLP,2017,66083904
24296,Guatemala,GTM,2017,404420205
24563,Guinea,GIN,2017,77269714
24830,Guinea-Bissau,GNB,2017,9228086
25097,Guyana,GUY,2017,89660737
25364,Haiti,HTI,2017,69042835
25631,Honduras,HND,2017,229623078
25898,Hong Kong,HKG,2017,1508760365
