name,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,481.77,481.36,480.87,480.3,481.08,480.36,479.57,478.69,477.75,476.74,475.68,474.58,473.45,472.32,472.57,471.43,470.29,469.15,468.01,466.87,465.74,464.6,463.46,462.32,462.57,461.43,460.28,459.14,458.0,456.85,455.71,453.55,451.39,450.59,448.45,446.3,444.15,442.02,439.89,437.76,435.64,433.52,431.41,430.59,428.48,426.38,424.28,422.19,420.1,418.02,415.95,413.05,407.19,401.21,395.12,388.92,382.61,376.22,369.77,363.31,356.9,350.89,345.34,340.15,334.92,329.58,324.34,318.95,313.58,308.06,302.71,297.19,291.66,285.94,280.4,274.55,268.7,262.87,256.75,250.43,243.94,237.52,231.01,224.52,217.98,211.43,204.84,198.17,191.61,185.15,178.77,172.57,166.68,161.1,155.76,150.8,146.13,141.75,137.53,133.44,129.38,125.36,121.23,117.04,112.8,108.54,104.3,100.1,95.95,91.87,87.95,84.13,80.47,76.95,73.55,70.38,67.45,64.73,62.28,60.15
Albania,374.39,374.07,373.69,373.24,372.75,372.19,371.57,370.9,370.16,369.38,368.56,367.71,366.84,365.96,365.08,364.2,363.32,362.43,361.55,360.67,359.79,358.91,358.03,357.15,356.27,355.39,354.51,353.63,352.75,351.87,348.06,344.3,340.57,336.89,333.24,329.63,326.07,322.54,319.05,315.6,312.18,308.8,305.46,302.16,298.89,295.65,292.45,289.29,286.16,283.06,280.0,268.99,258.42,248.26,238.5,229.13,220.12,211.47,203.16,195.17,187.5,180.13,173.05,166.25,159.71,153.43,147.4,141.61,136.04,130.7,125.56,120.62,115.88,111.33,106.95,103.66,100.29,97.36,95.27,87.71,80.8,74.46,68.57,63.37,58.74,54.63,51.01,47.87,45.1,42.71,40.68,38.92,37.36,35.91,34.53,33.16,31.74,30.28,28.8,27.36,25.93,24.51,23.12,21.77,20.45,19.17,17.91,16.68,15.51,14.38,13.3,12.3,11.41,10.65,10.05,9.6,9.27,9.02,8.82,8.68
Algeria,459.21,458.81,458.35,457.81,457.19,456.51,455.75,454.93,454.03,453.07,452.06,451.01,449.95,448.87,447.79,446.71,445.63,444.55,443.47,442.39,441.31,440.23,439.15,438.07,433.04,429.39,425.75,420.84,417.23,412.44,408.92,403.28,396.46,390.98,384.38,377.84,370.25,363.92,357.66,351.49,345.42,339.41,336.66,333.91,331.17,317.59,304.57,292.06,280.07,268.55,257.5,255.5,251.46,247.39,243.27,242.65,242.78,242.51,242.47,242.22,242.54,242.95,243.43,244.48,245.69,246.39,247.13,247.09,246.27,243.91,240.45,235.37,229.16,221.76,213.09,203.82,194.16,184.01,173.31,161.87,149.01,134.24,118.04,101.89,86.96,74.42,64.98,58.53,54.22,51.39,49.52,48.19,47.05,45.97,44.78,43.57,42.48,41.57,40.83,40.25,39.68,38.91,37.82,36.51,35.05,33.53,32.05,30.68,29.44,28.34,27.41,26.68,26.14,25.72,25.34,24.95,24.51,24.02,23.48,22.82
Angola,484.63,484.21,483.72,483.15,482.5,481.78,480.98,480.11,479.16,478.15,477.08,475.98,474.85,473.71,472.57,471.43,470.29,469.15,468.01,466.87,465.74,464.6,463.46,462.32,461.18,460.04,458.9,457.76,456.62,455.48,454.34,449.12,443.92,438.74,433.58,428.44,423.32,418.22,413.15,408.09,403.05,395.69,388.41,381.21,372.96,365.96,359.06,352.23,344.44,337.78,331.25,330.37,328.54,326.55,324.42,322.14,319.71,317.12,314.39,311.5,308.45,305.24,301.89,298.39,294.77,291.04,287.19,283.24,279.24,275.21,271.2,267.23,263.33,259.55,255.91,252.44,249.18,246.11,243.24,240.57,238.12,235.58,232.44,229.99,227.95,226.19,224.95,224.1,223.42,223.3,223.41,223.57,223.59,223.69,223.59,222.88,221.29,218.83,215.3,210.87,205.69,199.72,192.6,184.75,176.17,166.79,157.25,147.74,138.25,129.02,120.49,112.5,104.95,98.4,92.94,88.13,84.01,80.44,77.16,74.52
Antigua and Barbuda,210.28,208.58,206.9,205.22,203.56,201.92,200.28,198.67,197.06,195.47,193.88,192.32,190.76,189.22,187.69,186.17,184.67,183.17,181.69,180.22,178.76,177.32,175.89,174.46,173.05,171.65,170.27,168.89,167.52,166.17,164.82,162.8,160.81,158.83,156.88,154.94,153.03,151.14,149.27,147.42,145.58,143.77,141.98,140.21,138.46,136.73,135.01,133.32,131.64,129.98,128.34,126.08,121.51,116.89,112.2,107.46,102.67,97.85,93.03,88.26,83.59,79.1,74.86,70.95,67.42,64.33,61.71,59.54,57.74,56.27,55.05,54.01,53.06,52.13,51.18,50.16,49.11,48.04,46.98,45.91,44.81,43.64,42.39,41.02,39.56,37.98,35.58,33.46,31.51,29.68,27.98,26.39,24.86,23.42,22.09,20.84,19.68,18.59,17.59,16.67,15.83,15.06,14.36,13.73,13.12,12.53,11.94,11.35,10.75,10.17,9.59,9.04,8.52,8.04,7.64,7.29,6.97,6.69,6.44,6.25
Argentina,357.85,350.61,337.4,324.69,312.46,300.69,289.37,278.47,267.98,257.88,248.17,238.82,229.61,205.35,195.97,194.09,194.09,201.61,220.33,212.85,199.73,179.05,171.55,171.55,179.05,188.45,184.69,197.85,173.43,162.22,149.27,149.27,140.16,125.89,143.79,160.37,143.79,140.16,154.8,131.19,131.19,122.37,124.13,113.71,115.43,117.16,103.53,110.29,95.24,91.99,93.6,91.99,88.79,85.73,81.22,84.24,76.57,93.6,82.73,77.86,73.28,68.97,64.91,61.09,57.5,57.5,58.7,58.6,63.81,72.81,71.76,70.83,69.66,68.11,65.98,63.19,59.68,55.57,51.17,46.83,42.83,39.37,36.52,34.14,32.15,30.6,29.59,29.11,28.93,28.83,28.61,28.13,27.31,26.3,25.22,24.13,23.08,22.09,21.18,20.36,19.62,18.93,18.29,17.68,17.09,16.54,16.07,15.69,15.33,14.92,14.44,13.88,13.27,12.65,12.05,11.48,10.94,10.42,9.94,9.66
Armenia,325.69,321.82,317.99,314.21,310.48,306.78,303.14,299.53,295.97,292.45,288.98,285.54,282.15,278.79,275.48,272.2,268.97,265.77,262.61,259.49,256.4,253.35,250.34,247.37,244.43,241.52,238.65,235.81,233.01,230.24,227.5,221.61,215.86,210.23,204.73,199.35,194.1,188.96,183.95,179.05,174.26,169.59,165.03,160.58,156.24,152.0,147.86,143.83,139.89,136.05,132.31,131.38,129.5,127.6,125.66,123.69,121.69,119.67,117.62,115.56,113.49,111.43,109.39,107.39,105.42,103.5,101.61,99.76,97.93,96.15,94.43,92.8,91.26,89.83,88.49,87.2,85.91,82.43,79.12,75.96,72.92,70.09,67.36,64.72,62.21,59.86,57.54,55.31,80.8,51.05,48.96,46.91,44.88,42.91,40.96,39.09,37.31,35.58,33.9,32.3,30.76,29.26,27.84,26.48,25.18,23.92,22.73,21.6,20.52,19.48,18.52,17.58,16.7,15.87,15.11,14.37,13.66,13.01,12.38,12.05
Australia,149.27,156.65,162.22,169.68,117.16,117.16,118.9,115.43,110.29,100.18,105.2,93.6,100.18,100.18,98.52,93.6,96.88,75.01,79.68,95.24,95.24,89.08,70.99,79.48,76.05,69.76,70.23,72.27,71.57,68.14,63.78,54.35,53.64,53.3,58.03,53.59,55.8,50.66,50.44,50.46,50.16,52.48,51.48,50.26,41.41,37.92,38.51,35.77,33.92,31.5,31.59,30.97,30.25,29.49,28.72,27.96,27.26,26.62,26.01,25.43,24.85,24.28,23.72,23.19,22.73,22.35,22.1,21.97,21.88,21.73,21.45,20.99,20.3,19.42,18.4,17.31,16.23,15.24,14.37,13.63,13.03,12.55,12.17,11.86,11.58,11.3,10.98,10.61,10.19,9.71,9.19,8.66,8.15,7.69,7.31,7.01,6.77,6.59,6.45,6.31,6.19,6.08,5.99,5.91,5.82,5.72,5.59,5.41,5.21,4.99,4.77,4.54,4.32,4.13,3.98,3.87,3.79,3.74,3.69,3.59
Austria,375.39,339.88,351.19,349.57,341.52,375.39,328.51,339.88,323.63,339.88,307.34,336.63,294.24,308.99,279.42,354.43,312.26,302.43,313.89,253.24,253.24,253.24,253.24,227.77,201.61,184.69,192.21,195.97,186.57,173.43,156.65,153.59,157.87,135.13,130.57,141.69,130.18,127.43,106.63,94.71,95.47,88.58,93.86,100.66,113.74,232.76,101.05,90.67,79.18,74.02,63.59,62.37,59.92,57.47,55.0,53.41,51.76,49.95,47.88,45.43,42.79,40.24,37.94,35.92,34.19,32.74,31.52,30.51,29.77,29.34,29.07,28.69,28.0,26.8,25.06,23.04,21.11,19.45,18.11,17.08,16.25,15.5,14.76,14.02,13.31,12.6,11.88,11.15,10.5,9.98,9.52,9.06,8.53,7.95,7.37,6.82,6.36,6.01,5.77,5.61,5.5,5.41,5.31,5.2,5.05,4.9,4.76,4.65,4.54,4.44,4.33,4.2,4.05,3.91,3.8,3.71,3.65,3.58,3.52,3.37
Azerbaijan,312.92,309.88,306.87,303.89,300.94,298.02,295.12,292.25,289.42,286.61,283.82,281.06,278.33,275.63,272.95,270.3,267.68,265.08,262.5,259.95,257.43,254.93,252.45,250.0,247.57,245.17,242.79,240.43,238.09,235.78,233.49,229.47,225.5,221.59,217.74,213.95,210.21,206.53,202.9,199.33,195.81,192.34,188.93,185.57,182.26,179.01,175.8,172.65,169.54,166.48,163.47,162.15,159.53,156.95,154.41,151.9,149.44,147.01,144.61,142.23,139.87,137.52,135.18,132.84,130.52,128.22,125.95,123.73,121.58,119.56,117.73,116.15,114.86,113.84,113.09,112.55,112.18,111.89,111.59,111.21,110.69,109.99,109.11,106.67,104.25,101.98,99.93,98.19,96.83,95.96,95.59,95.83,96.13,96.26,95.89,94.51,92.21,88.88,84.76,79.97,74.96,69.78,64.88,60.39,56.23,52.51,49.16,46.05,43.13,40.31,37.64,35.08,32.68,30.45,28.32,26.32,24.49,22.88,21.52,20.7
