name,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,1088.0,1106.0,1124.0,1143.0,1162.0,1182.0,1200.0,1219.0,1239.0,1259.0,1277.0,1297.0,1317.0,1337.0,1359.0,1381.0,1403.0,1426.0,1448.0,1471.0,1494.0,1520.0,1545.0,1572.0,1599.0,1625.0,1652.0,1680.0,1708.0,1736.0,1765.0,1793.0,1822.0,1851.0,1881.0,1910.0,1940.0,1970.0,2000.0,2031.0,2064.0,2094.0,2126.0,2159.0,2191.0,2223.0,2257.0,2289.0,2324.0,2357.0,2392.0,2422.0,2462.0,2568.0,2576.0,2579.0,2644.0,2593.0,2684.0,2705.0,2744.0,2702.0,2683.0,2665.0,2649.0,2641.0,2598.0,2601.0,2623.0,2594.0,2574.0,2498.0,2031.0,2031.0,2083.0,2152.0,2206.0,2037.0,2127.0,2030.0,2015.0,2260.0,2501.0,2648.0,2620.0,2552.0,2620.0,2358.0,2140.0,1935.0,1861.0,1645.0,1522.0,1009.0,721.0,1028.0,942.0,865.0,800.0,735.0,687.0,646.0,1016.0,1056.0,1025.0,1099.0,1124.0,1248.0,1268.0,1502.0,1672.0,1627.0,1773.0,1808.0,1796.0,1767.0,1757.0,1758.0,1735.0,1763.0
Albania,1221.0,1237.0,1253.0,1269.0,1286.0,1303.0,1320.0,1337.0,1354.0,1372.0,1390.0,1408.0,1426.0,1445.0,1457.0,1469.0,1482.0,1494.0,1506.0,1519.0,1532.0,1545.0,1557.0,1571.0,1584.0,1597.0,1610.0,1624.0,1637.0,1651.0,1657.0,1663.0,1669.0,1676.0,1682.0,1688.0,1694.0,1700.0,1707.0,1713.0,1719.0,1726.0,1732.0,1739.0,1745.0,1751.0,1758.0,1764.0,1771.0,1777.0,1784.0,1861.0,1864.0,1940.0,1997.0,2104.0,2125.0,2262.0,2363.0,2461.0,2585.0,2607.0,2693.0,2785.0,2880.0,2985.0,3098.0,3215.0,3331.0,3444.0,3571.0,3714.0,3859.0,4052.0,4067.0,4081.0,4098.0,4116.0,4135.0,4156.0,4185.0,4208.0,4231.0,4255.0,4280.0,4302.0,4330.0,4357.0,4385.0,4418.0,4458.0,3229.0,3015.0,3324.0,3622.0,4130.0,4534.0,4064.0,4451.0,5057.0,5443.0,5949.0,6238.0,6608.0,7001.0,7426.0,7914.0,8451.0,9155.0,9525.0,9928.0,10208.0,10370.0,10493.0,10701.0,10971.0,11357.0,11803.0,12306.0,12694.0
Algeria,1749.0,1768.0,1787.0,1807.0,1826.0,1846.0,1866.0,1887.0,1907.0,1928.0,1949.0,1997.0,2045.0,2095.0,2131.0,2168.0,2205.0,2243.0,2280.0,2318.0,2357.0,2418.0,2478.0,2538.0,2598.0,2657.0,2716.0,2775.0,2833.0,2891.0,2949.0,3030.0,3111.0,3194.0,3276.0,3359.0,3442.0,3527.0,3611.0,3694.0,3779.0,3865.0,3950.0,4036.0,4122.0,4209.0,4295.0,4381.0,4468.0,4555.0,4642.0,4648.0,4814.0,4855.0,5165.0,5262.0,5727.0,6323.0,6496.0,7623.0,8077.0,7782.0,4909.0,6029.0,6456.0,6849.0,6207.0,6699.0,7200.0,7574.0,8073.0,7168.0,8412.0,8425.0,8667.0,8992.0,9288.0,9810.0,10720.0,11321.0,11164.0,11075.0,11401.0,11601.0,11848.0,12071.0,11599.0,11199.0,10663.0,10731.0,10298.0,9927.0,9871.0,9451.0,9174.0,9343.0,9557.0,9507.0,9843.0,10015.0,10258.0,10429.0,10874.0,11509.0,11847.0,12374.0,12399.0,12620.0,12708.0,12695.0,12921.0,13046.0,13226.0,13323.0,13549.0,13774.0,13940.0,13876.0,13886.0,13967.0
Angola,958.0,962.0,967.0,971.0,975.0,979.0,984.0,988.0,992.0,997.0,1001.0,1006.0,1010.0,1014.0,1045.0,1076.0,1108.0,1141.0,1174.0,1209.0,1245.0,1285.0,1326.0,1368.0,1412.0,1457.0,1503.0,1551.0,1600.0,1651.0,1704.0,1758.0,1813.0,1871.0,1930.0,1992.0,2055.0,2120.0,2187.0,2257.0,2328.0,2402.0,2478.0,2557.0,2638.0,2721.0,2807.0,2896.0,2988.0,3082.0,3180.0,3260.0,3342.0,3423.0,3288.0,3506.0,3395.0,3669.0,3809.0,3769.0,3861.0,4313.0,4134.0,4284.0,4695.0,4974.0,5187.0,5408.0,5247.0,5318.0,5570.0,5794.0,5687.0,6012.0,6055.0,5615.0,5008.0,4955.0,5074.0,5079.0,5112.0,4925.0,4612.0,4337.0,4255.0,4208.0,3760.0,4129.0,4649.0,4667.0,4761.0,4651.0,4238.0,3119.0,3060.0,3408.0,3747.0,3892.0,3946.0,3903.0,3892.0,3924.0,4315.0,4296.0,4605.0,5113.0,5500.0,6044.0,6474.0,6293.0,6360.0,6346.0,6645.0,6731.0,6813.0,6645.0,6258.0,6045.0,5725.0,5544.0
Antigua and Barbuda,1301.0,1310.0,1319.0,1327.0,1336.0,1345.0,1355.0,1364.0,1373.0,1382.0,1391.0,1401.0,1410.0,1420.0,1455.0,1491.0,1528.0,1565.0,1604.0,1643.0,1684.0,1725.0,1767.0,1811.0,1855.0,1900.0,1947.0,1995.0,2043.0,2093.0,2145.0,2197.0,2251.0,2306.0,2362.0,2420.0,2479.0,2539.0,2602.0,2665.0,2730.0,2797.0,2865.0,2935.0,3007.0,3080.0,3155.0,3232.0,3311.0,3391.0,3474.0,3559.0,3645.0,3734.0,3825.0,3918.0,4014.0,4111.0,4212.0,4314.0,4419.0,4571.0,4727.0,4888.0,5055.0,5227.0,5405.0,5588.0,5777.0,5973.0,6174.0,6554.0,6963.0,7486.0,7680.0,7211.0,6527.0,6971.0,7198.0,7980.0,8555.0,9056.0,9201.0,9976.0,10897.0,11941.0,13175.0,14576.0,15919.0,16922.0,17473.0,17617.0,17516.0,18075.0,18872.0,17664.0,18427.0,19020.0,19507.0,19837.0,20791.0,19455.0,19382.0,20296.0,21183.0,22229.0,24683.0,26545.0,26111.0,22592.0,20660.0,19953.0,20389.0,20121.0,20821.0,21426.0,22394.0,22856.0,23768.0,24463.0
Argentina,5051.0,5060.0,4772.0,5256.0,5605.0,6110.0,6180.0,6077.0,6424.0,6497.0,6713.0,6580.0,6857.0,6670.0,5800.0,5698.0,5430.0,4901.0,5705.0,5810.0,6101.0,6097.0,6386.0,6847.0,7123.0,6885.0,7016.0,7300.0,7538.0,7671.0,7166.0,6520.0,6186.0,6361.0,6754.0,6938.0,6872.0,7246.0,7152.0,7286.0,7310.0,7560.0,7525.0,7346.0,8043.0,7652.0,8195.0,8940.0,9225.0,8866.0,8759.0,8911.0,8286.0,8562.0,8747.0,9199.0,9284.0,9592.0,10009.0,9207.0,9765.0,10299.0,9976.0,9589.0,10418.0,11202.0,11116.0,11257.0,11574.0,12385.0,12854.0,13258.0,13445.0,14025.0,14683.0,14314.0,14039.0,14640.0,13767.0,14510.0,14476.0,13421.0,12787.0,13040.0,13111.0,12070.0,12760.0,12893.0,12466.0,11524.0,11373.0,12239.0,13033.0,13919.0,14547.0,13960.0,14557.0,15556.0,15973.0,15261.0,14975.0,14160.0,12481.0,13439.0,14499.0,15619.0,16706.0,18030.0,18576.0,17303.0,18912.0,19817.0,19392.0,19638.0,18935.0,19244.0,18645.0,18945.0,18282.0,17529.0
Armenia,886.0,906.0,983.0,913.0,1008.0,890.0,849.0,814.0,887.0,919.0,979.0,902.0,973.0,1020.0,972.0,998.0,967.0,806.0,671.0,560.0,531.0,504.0,547.0,593.0,642.0,696.0,755.0,819.0,887.0,962.0,1003.0,1009.0,991.0,1025.0,1117.0,1273.0,1356.0,1465.0,1457.0,1512.0,1445.0,1414.0,1384.0,1354.0,1340.0,1326.0,1312.0,1470.0,1674.0,1843.0,2012.0,2002.0,2112.0,2183.0,2267.0,2435.0,2641.0,2667.0,2837.0,2775.0,3003.0,3120.0,3153.0,3034.0,3378.0,3524.0,3651.0,3769.0,3946.0,3959.0,4218.0,4282.0,4256.0,4561.0,4482.0,4403.0,4325.0,4248.0,4172.0,4097.0,4023.0,4091.0,4158.0,4136.0,4221.0,4300.0,4214.0,3924.0,3686.0,4122.0,3742.0,3336.0,1977.0,1845.0,1992.0,2173.0,2337.0,2441.0,2640.0,2744.0,2925.0,3224.0,3669.0,4207.0,4674.0,5357.0,6111.0,7012.0,7560.0,6534.0,6703.0,7020.0,7505.0,7717.0,7954.0,8172.0,8159.0,8745.0,9178.0,9728.0
Australia,7292.0,6974.0,6945.0,7406.0,7803.0,7780.0,8189.0,8387.0,8527.0,9049.0,9465.0,9273.0,9263.0,9369.0,9133.0,8896.0,8863.0,8705.0,8360.0,8567.0,8658.0,8922.0,9200.0,9433.0,9843.0,10089.0,10124.0,10072.0,9905.0,9562.0,8554.0,7910.0,8292.0,8798.0,9193.0,9661.0,10021.0,10439.0,10695.0,10621.0,11203.0,12333.0,13636.0,13995.0,13376.0,12567.0,11982.0,12108.0,12659.0,13148.0,13466.0,13640.0,13477.0,13636.0,14154.0,14585.0,14732.0,14699.0,15090.0,15677.0,15972.0,15678.0,16311.0,16939.0,17700.0,18195.0,18305.0,19131.0,19817.0,20494.0,21254.0,21664.0,21806.0,22576.0,22699.0,22958.0,23568.0,23481.0,23799.0,24680.0,24768.0,25124.0,24627.0,24261.0,25590.0,26493.0,26616.0,27441.0,28132.0,28791.0,28669.0,28194.0,27969.0,28813.0,29645.0,30412.0,31179.0,32055.0,33174.0,34462.0,35393.0,35593.0,36568.0,37198.0,38260.0,38969.0,39471.0,40733.0,41385.0,41326.0,41530.0,41965.0,42848.0,43218.0,43672.0,44054.0,44606.0,44888.0,45439.0,45495.0
Austria,4997.0,4965.0,5107.0,5099.0,5125.0,5357.0,5507.0,5788.0,5756.0,5680.0,5705.0,5835.0,6077.0,6009.0,4986.0,4600.0,4556.0,4484.0,4430.0,3917.0,4183.0,4595.0,4989.0,4928.0,5484.0,5838.0,5918.0,6078.0,6341.0,6413.0,6217.0,5700.0,5097.0,4912.0,4944.0,5040.0,5192.0,5471.0,6172.0,7102.0,6865.0,7312.0,6906.0,7047.0,7199.0,2990.0,3392.0,3756.0,4793.0,5710.0,6426.0,6865.0,6878.0,7173.0,7897.0,8762.0,9357.0,9911.0,10241.0,10492.0,11302.0,11865.0,12105.0,12547.0,13242.0,13566.0,14262.0,14620.0,15226.0,16164.0,17294.0,18139.0,19197.0,20070.0,20873.0,20900.0,21944.0,23013.0,23000.0,24350.0,24969.0,24950.0,25448.0,26296.0,26437.0,27070.0,27734.0,28222.0,29099.0,30284.0,31342.0,32098.0,32412.0,32315.0,32964.0,33792.0,34539.0,35222.0,36444.0,37666.0,38844.0,39186.0,39638.0,39817.0,40653.0,41283.0,42498.0,43939.0,44442.0,42657.0,43336.0,44453.0,44552.0,44301.0,44247.0,44254.0,44671.0,45493.0,46473.0,46873.0
Azerbaijan,1522.0,1559.0,1693.0,1575.0,1740.0,1539.0,1470.0,1411.0,1540.0,1598.0,1703.0,1573.0,1698.0,1782.0,1700.0,1749.0,1553.0,1363.0,834.0,718.0,721.0,660.0,767.0,884.0,1121.0,1402.0,1575.0,1642.0,1728.0,1749.0,1830.0,1848.0,1820.0,1890.0,2065.0,2363.0,2526.0,2737.0,2731.0,2844.0,2727.0,2678.0,2629.0,2582.0,2544.0,2508.0,2471.0,2758.0,3128.0,3432.0,3733.0,3702.0,3891.0,4008.0,4151.0,4444.0,4805.0,4837.0,5131.0,5005.0,5403.0,5631.0,5708.0,5512.0,6160.0,6451.0,6709.0,6955.0,7312.0,7369.0,7886.0,8041.0,8032.0,8651.0,8654.0,8656.0,8658.0,8660.0,8662.0,8665.0,8667.0,9045.0,9439.0,9638.0,10043.0,10263.0,10371.0,10749.0,11127.0,10027.0,8790.0,8594.0,6552.0,4962.0,3931.0,3428.0,3437.0,3602.0,3924.0,4178.0,4604.0,5020.0,5454.0,5965.0,6460.0,8182.0,10882.0,13499.0,14619.0,15660.0,16216.0,15754.0,15889.0,16601.0,16854.0,16829.0,16132.0,15929.0,16011.0,16248.0
