name,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,5021241.0,5053439.0,5085403.0,5118005.0,5150814.0,5183829.0,5217053.0,5249854.0,5283495.0,5317347.0,5351413.0,5385509.0,5420004.0,5459010.0,5502589.0,5550805.0,5599440.0,5648497.0,5704092.0,5758692.0,5813814.0,5869464.0,5925647.0,5982368.0,6039631.0,6097443.0,6155808.0,6214731.0,6274219.0,6334276.0,6394908.0,6456120.0,6517918.0,6580308.0,6643295.0,6706885.0,6771083.0,6835896.0,6901330.0,6967389.0,7034081.0,7101412.0,7169387.0,7238012.0,7307295.0,7377241.0,7447856.0,7519147.0,7591120.0,7663783.0,7752118.0,7839510.0,7934980.0,8038596.0,8150447.0,8270581.0,8399030.0,8535807.0,8680946.0,8834445.0,8996351.0,9166764.0,9345868.0,9533954.0,9731361.0,9938414.0,10152331.0,10372630.0,10604346.0,10854428.0,11126123.0,11417825.0,11721940.0,12027822.0,12321541.0,12590286.0,12840299.0,13067538.0,13237734.0,13306695.0,13248370.0,13053954.0,12749645.0,12389269.0,12047115.0,11783050.0,11601041.0,11502761.0,11540888.0,11777609.0,12249114.0,12993657.0,13981231.0,15095099.0,16172719.0,17099541.0,17822884.0,18381605.0,18863999.0,19403676.0,20093756.0,20966463.0,21979923.0,23064851.0,24118979.0,25070798.0,25893450.0,26616792.0,27294031.0,28004331.0,28803167.0,29708599.0,30696958.0,31731688.0,32758020.0,33736494.0,34656032.0,35530081.0,36373176.0,37209007.0
Albania,819951.0,827966.0,836031.0,844038.0,852043.0,860044.0,868121.0,876112.0,884339.0,892676.0,901124.0,909604.0,918312.0,925945.0,932486.0,937916.0,943378.0,948871.0,953764.0,958841.0,963958.0,969107.0,974278.0,979450.0,984276.0,989448.0,994619.0,1000135.0,1005306.0,1010478.0,1015994.0,1021510.0,1027026.0,1032197.0,1037713.0,1043229.0,1052538.0,1063225.0,1082532.0,1102527.0,1123213.0,1139416.0,1150104.0,1157688.0,1164928.0,1176994.0,1195267.0,1213883.0,1232845.0,1246636.0,1263174.0,1287497.0,1316089.0,1348099.0,1382878.0,1419970.0,1459089.0,1500149.0,1543222.0,1588484.0,1636056.0,1685900.0,1737644.0,1790534.0,1843593.0,1896125.0,1947785.0,1998693.0,2049151.0,2099653.0,2150598.0,2202035.0,2253844.0,2306003.0,2358463.0,2411229.0,2464336.0,2517872.0,2571850.0,2626286.0,2681239.0,2735329.0,2788314.0,2842624.0,2901592.0,2966798.0,3041007.0,3121336.0,3197067.0,3253656.0,3281454.0,3275431.0,3240587.0,3189583.0,3140595.0,3106736.0,3092228.0,3093041.0,3103759.0,3115576.0,3121970.0,3122408.0,3119029.0,3111005.0,3097747.0,3079179.0,3054331.0,3023907.0,2991651.0,2962635.0,2940525.0,2926659.0,2920039.0,2918978.0,2920775.0,2923352.0,2926348.0,2930187.0,2934363.0,2938428.0
Algeria,4946166.0,4990304.0,5034196.0,5079119.0,5124443.0,5170172.0,5216308.0,5261920.0,5308875.0,5356248.0,5404045.0,5451990.0,5500641.0,5556904.0,5620940.0,5692913.0,5765808.0,5839635.0,5913223.0,5988038.0,6063800.0,6140520.0,6218211.0,6296885.0,6376554.0,6457232.0,6538930.0,6621661.0,6705440.0,6790278.0,6876190.0,6963188.0,7051288.0,7140502.0,7230845.0,7322331.0,7414974.0,7508790.0,7603792.0,7699997.0,7797418.0,7896073.0,7995975.0,8097142.0,8199588.0,8303331.0,8408386.0,8514770.0,8622500.0,8731594.0,8872247.0,9039910.0,9216397.0,9405443.0,9609505.0,9829719.0,10065822.0,10316288.0,10578449.0,10848973.0,11124888.0,11404859.0,11690153.0,11985136.0,12295970.0,12626952.0,12980267.0,13354197.0,13744387.0,14144438.0,14550034.0,14960109.0,15377093.0,15804428.0,16247113.0,16709099.0,17190239.0,17690184.0,18212326.0,18760761.0,19337715.0,19943664.0,20575701.0,21228289.0,21893853.0,22565905.0,23241272.0,23917897.0,24591492.0,25257672.0,25912367.0,26554329.0,27181094.0,27786259.0,28362253.0,28904298.0,29411415.0,29886839.0,30335732.0,30765613.0,31183660.0,31592153.0,31995046.0,32403514.0,32831096.0,33288437.0,33777915.0,34300076.0,34860715.0,35465760.0,36117637.0,36819558.0,37565847.0,38338562.0,39113313.0,39871528.0,40606052.0,41318142.0,42008054.0,42679018.0
Angola,2995663.0,3021420.0,3047127.0,3073315.0,3099724.0,3126354.0,3153208.0,3179897.0,3207199.0,3234731.0,3262493.0,3290373.0,3318601.0,3347066.0,3375770.0,3404714.0,3433900.0,3463331.0,3487015.0,3512369.0,3537908.0,3563632.0,3589544.0,3615643.0,3641933.0,3668414.0,3695087.0,3721954.0,3749017.0,3776276.0,3803733.0,3831391.0,3859249.0,3887310.0,3915574.0,3944045.0,3972722.0,4001608.0,4030704.0,4060011.0,4093865.0,4132344.0,4175527.0,4219161.0,4263251.0,4307801.0,4352818.0,4398304.0,4444266.0,4490709.0,4548023.0,4659333.0,4774561.0,4890469.0,5004763.0,5116071.0,5224003.0,5329099.0,5432717.0,5536779.0,5643182.0,5753024.0,5866061.0,5980417.0,6093321.0,6203299.0,6309770.0,6414995.0,6523791.0,6642632.0,6776381.0,6927269.0,7094834.0,7277960.0,7474338.0,7682479.0,7900997.0,8130988.0,8376147.0,8641521.0,8929900.0,9244507.0,9582156.0,9931562.0,10277321.0,10609042.0,10921037.0,11218268.0,11513968.0,11827237.0,12171441.0,12553446.0,12968345.0,13403734.0,13841301.0,14268994.0,14682284.0,15088981.0,15504318.0,15949766.0,16440924.0,16983266.0,17572649.0,18203369.0,18865716.0,19552542.0,20262399.0,20997687.0,21759420.0,22549547.0,23369131.0,24218565.0,25096150.0,25998340.0,26920466.0,27859305.0,28813463.0,29784193.0,30774205.0,31787566.0
Antigua and Barbuda,34926.0,34677.0,34444.0,34173.0,33891.0,33598.0,33296.0,32989.0,32692.0,32397.0,32121.0,31840.0,31605.0,31399.0,31194.0,30990.0,30788.0,30587.0,30391.0,30196.0,30002.0,30007.0,30214.0,30623.0,31038.0,31459.0,31885.0,32317.0,32755.0,33199.0,33649.0,34105.0,34567.0,35035.0,35510.0,35991.0,36479.0,36973.0,37474.0,37982.0,38496.0,39018.0,39547.0,40082.0,40626.0,41176.0,41889.0,42769.0,43825.0,44906.0,46303.0,48365.0,49999.0,51262.0,52208.0,52897.0,53420.0,53838.0,54241.0,54722.0,55339.0,56144.0,57144.0,58294.0,59524.0,60781.0,62059.0,63360.0,64655.0,65910.0,67098.0,68188.0,69176.0,70066.0,70878.0,71609.0,72285.0,72875.0,73324.0,73528.0,73442.0,73066.0,72448.0,71639.0,70725.0,69782.0,68809.0,67845.0,67058.0,66627.0,66696.0,67307.0,68427.0,69938.0,71719.0,73619.0,75628.0,77739.0,79851.0,81831.0,83584.0,85057.0,86266.0,87293.0,88257.0,89253.0,90301.0,91381.0,92478.0,93581.0,94661.0,95719.0,96777.0,97824.0,98875.0,99923.0,100963.0,102012.0,103050.0,104084.0
Argentina,4756635.0,4929644.0,5094954.0,5285563.0,5485838.0,5696234.0,5914645.0,6121229.0,6355959.0,6599705.0,6852669.0,7108577.0,7381312.0,7644045.0,7878423.0,8069762.0,8233077.0,8382047.0,8530833.0,8693347.0,8884894.0,9117153.0,9399467.0,9720491.0,10050859.0,10366210.0,10670216.0,10978559.0,11292242.0,11602921.0,11898250.0,12168551.0,12411154.0,12633735.0,12847974.0,13060544.0,13279454.0,13506374.0,13747976.0,13974562.0,14200814.0,14419057.0,14655320.0,14898257.0,15149203.0,15408492.0,15679460.0,15985468.0,16346870.0,16750098.0,17150336.0,17507130.0,17866096.0,18224150.0,18579037.0,18929346.0,19274528.0,19614847.0,19951323.0,20285531.0,20619075.0,20953077.0,21287682.0,21621840.0,21953929.0,22283390.0,22608748.0,22932203.0,23261278.0,23605987.0,23973058.0,24366439.0,24782949.0,25213388.0,25644506.0,26066975.0,26477152.0,26878565.0,27277741.0,27684534.0,28105888.0,28543364.0,28993987.0,29454738.0,29920904.0,30388783.0,30857244.0,31326473.0,31795517.0,32263561.0,32729739.0,33193918.0,33655151.0,34110917.0,34558115.0,34994814.0,35419682.0,35833969.0,36241590.0,36648068.0,37057452.0,37471509.0,37889370.0,38309379.0,38728696.0,39145488.0,39558890.0,39970224.0,40382389.0,40799407.0,41223889.0,41656879.0,42096739.0,42539925.0,42981515.0,43417765.0,43847430.0,44271041.0,44688864.0,45101781.0
Armenia,855315.0,863100.0,870836.0,878763.0,886762.0,894834.0,902979.0,911021.0,919314.0,927682.0,936126.0,944595.0,953193.0,961869.0,970625.0,979460.0,988376.0,997372.0,1006536.0,1015762.0,1025073.0,1034470.0,1043952.0,1053521.0,1063179.0,1072924.0,1082759.0,1092684.0,1102700.0,1112808.0,1123009.0,1133303.0,1143691.0,1154175.0,1164755.0,1175431.0,1186206.0,1197079.0,1208052.0,1219126.0,1230301.0,1241579.0,1252960.0,1264445.0,1276035.0,1287732.0,1299536.0,1311448.0,1323470.0,1335601.0,1353510.0,1381872.0,1418276.0,1461424.0,1510171.0,1563505.0,1620593.0,1680714.0,1743303.0,1807917.0,1874120.0,1941491.0,2009526.0,2077575.0,2144998.0,2211316.0,2276031.0,2339124.0,2401140.0,2462925.0,2525065.0,2587706.0,2650484.0,2712781.0,2773747.0,2832757.0,2889579.0,2944379.0,2997411.0,3049105.0,3099751.0,3148092.0,3193686.0,3238594.0,3285595.0,3335935.0,3392256.0,3451942.0,3504651.0,3536469.0,3538165.0,3505251.0,3442810.0,3363098.0,3283660.0,3217342.0,3168215.0,3133086.0,3108684.0,3089017.0,3069588.0,3050655.0,3033897.0,3017806.0,3000612.0,2981259.0,2958500.0,2933056.0,2908220.0,2888584.0,2877311.0,2875581.0,2881922.0,2893509.0,2906220.0,2916950.0,2924816.0,2930450.0,2934152.0,2936706.0
Australia,3743707.0,3798583.0,3851995.0,3906036.0,3962416.0,4022248.0,4086866.0,4138959.0,4213351.0,4301164.0,4408208.0,4518260.0,4667239.0,4811885.0,4915478.0,4960323.0,4966110.0,4986587.0,5066003.0,5202210.0,5345426.0,5472619.0,5585790.0,5705305.0,5828491.0,5951010.0,6074196.0,6194712.0,6305547.0,6399355.0,6473801.0,6534894.0,6588976.0,6640721.0,6691798.0,6742542.0,6795622.0,6853042.0,6915804.0,6982906.0,7052010.0,7119446.0,7184210.0,7250310.0,7322420.0,7401873.0,7491676.0,7600507.0,7749066.0,7949150.0,8177342.0,8412604.0,8620970.0,8816902.0,9011190.0,9210908.0,9419268.0,9635828.0,9856949.0,10076741.0,10289707.0,10493555.0,10691689.0,10894270.0,11115211.0,11363313.0,11643451.0,11949357.0,12265087.0,12568300.0,12842907.0,13084157.0,13296872.0,13486438.0,13662048.0,13831206.0,13994623.0,14152065.0,14309298.0,14473242.0,14649114.0,14838494.0,15041065.0,15257358.0,15487214.0,15729643.0,15986164.0,16254935.0,16527430.0,16792294.0,17041431.0,17271874.0,17485948.0,17687479.0,17882737.0,18076743.0,18271685.0,18467588.0,18665045.0,18864112.0,19065837.0,19268533.0,19475191.0,19696972.0,19948429.0,20238903.0,20573606.0,20946664.0,21342493.0,21739040.0,22120064.0,22479799.0,22821849.0,23150729.0,23474668.0,23799556.0,24125848.0,24450561.0,24772247.0,25088636.0
Austria,5979721.0,6041260.0,6101911.0,6164683.0,6228010.0,6292115.0,6356442.0,6420769.0,6485163.0,6547557.0,6608150.0,6668744.0,6719738.0,6765398.0,6805059.0,6824387.0,6817383.0,6778714.0,6643721.0,6533726.0,6459395.0,6495394.0,6524726.0,6544058.0,6562058.0,6582057.0,6602389.0,6622722.0,6643054.0,6663387.0,6684053.0,6704385.0,6725051.0,6743383.0,6755383.0,6759383.0,6757716.0,6755050.0,6720051.0,6703385.0,6700719.0,6744050.0,6778382.0,6808047.0,6813381.0,6877378.0,6923043.0,6975374.0,6956374.0,6944857.0,6936439.0,6931338.0,6931196.0,6935142.0,6942619.0,6953406.0,6967625.0,6985724.0,7008424.0,7036550.0,7070766.0,7111142.0,7156833.0,7205994.0,7256091.0,7305158.0,7352240.0,7397171.0,7439579.0,7479346.0,7516239.0,7550340.0,7581117.0,7607065.0,7626290.0,7637689.0,7640749.0,7636576.0,7627759.0,7617884.0,7609752.0,7604513.0,7602181.0,7603102.0,7607293.0,7614868.0,7625393.0,7639352.0,7658840.0,7686572.0,7723949.0,7772701.0,7830933.0,7892086.0,7947209.0,7990121.0,8017863.0,8032876.0,8041050.0,8051113.0,8069276.0,8097748.0,8134412.0,8175852.0,8216805.0,8253650.0,8284735.0,8311783.0,8338453.0,8370038.0,8409949.0,8459864.0,8517548.0,8577782.0,8633220.0,8678657.0,8712137.0,8735453.0,8751820.0,8766201.0
Azerbaijan,1840715.0,1857828.0,1874838.0,1892269.0,1909861.0,1927617.0,1945538.0,1963242.0,1981494.0,1999916.0,2018509.0,2037161.0,2056101.0,2075217.0,2094510.0,2113982.0,2133636.0,2153473.0,2173230.0,2193235.0,2213424.0,2233799.0,2254362.0,2275114.0,2296057.0,2317193.0,2338523.0,2360050.0,2381775.0,2403700.0,2425826.0,2448157.0,2470693.0,2493436.0,2516389.0,2539553.0,2562930.0,2586522.0,2610332.0,2634361.0,2658610.0,2683084.0,2707782.0,2732708.0,2757863.0,2783250.0,2808871.0,2834727.0,2860821.0,2887156.0,2927921.0,2987267.0,3060011.0,3142813.0,3233166.0,3329387.0,3430660.0,3537027.0,3649191.0,3768331.0,3895396.0,4030320.0,4171425.0,4315128.0,4456689.0,4592610.0,4721525.0,4843870.0,4960235.0,5071930.0,5180025.0,5284532.0,5385267.0,5483084.0,5579077.0,5674137.0,5768724.0,5863134.0,5957929.0,6053645.0,6150738.0,6249320.0,6349558.0,6452076.0,6557585.0,6666455.0,6778633.0,6893500.0,7010036.0,7126891.0,7242770.0,7357956.0,7471933.0,7581761.0,7683709.0,7775426.0,7855553.0,7925669.0,7989904.0,8054125.0,8122741.0,8197279.0,8277015.0,8361359.0,8448882.0,8538606.0,8630195.0,8724304.0,8821908.0,8924407.0,9032457.0,9146379.0,9264917.0,9385293.0,9503771.0,9617484.0,9725376.0,9827589.0,9923914.0,10014575.0
